Nombre del estudio,Dirección,Barrio,Teléfono,Email,Instagram,Seguidores,Puntaje x reserñas,Web,Fabricantes Ref,Diseño,App,Opiniones,Presentación,Servicios adicionales,Horario,Código Plus,Fuente de datos,Fecha de recolección,Observacciones,
Mundo Pilates Belgrano,"Mendoza 2743, C1428DKU Cdad. Autónoma de Buenos Aires",Belgrano,1147063831,,https://www.instagram.com/mundopilatesbelgrano/?hl=es-la#,458,"5,0x26",,-,,,"3 semanas atrás. Nueva El lugar es excelente🤗!! Desde la atención de Alejandro por wp para asesorar y coordinar clases, hasta los profes que son muy cuidadosos y profesionales para brindar las clases, Nacho es un genio!!…",Miembro Fundador de la @ca.pi.af,"Patologías, Tercera, Edad Embarazadas,Adolescentes.","Lunes a jueves de 8 a. m.–12 p. m., 5–9 p. m. viernes, 8 a. m.–12 p. m., 4:30–8:30 p. m. sábado, 9 a. m.–1 p. m.5","CGPQ+RM Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Ig",30-10-25,,
Vibra Pilates,"Franklin D. Roosevelt 2445, C1428 Cdad. Autónoma de Buenos Aires",Belgrano,1169013963,,https://www.instagram.com/vibrapilates_belgrano,2125,"4,9x17",,P&P,Básico colorido.,,No hay recientes,-,,"Lunes a viernes de 8–10 a. m., 4–9 p. m. sábado, 10 a. m.–1 p. m.","CGRQ+VG Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",31-10-25,,
OStudio pilates y más,"Vuelta de Obligado 2538, C1428 autónoma de buenos aires, Cdad. Autónoma de Buenos Aires",Belgrano,111526127733,,-,,"5,0x32",,Del Río Pilates,"Armonioso, ambiente naturalista, con plantas, y mensajes sobre el Pilates en las paredes, espejos ovalados.",,"Hace 3 meses. Empecé hace dos meses y ahora no puedo parar! Es la primera vez que hago pilates y la verdad que me está cambiando mental y fisicamente. Me siento muchísimo mejor y con más fuerza. Lo mejor es que las profes son un amor, te acompañan en todo momento para que no te lastimes y te dan clases super personalizadas💖 Y ademas, la pasas súper bien! Muchas gracias por todo",-,,"Lunes a viernes de 8 a. m.–9 p. m. sábado, 9 a. m.–5 p. m.",CGVR+26 Cdad. Autónoma de Buenos Aires,"Google maps, IG",31-10-25,Sedes: Vuelta de Obligado 2538 y Vidal 1980. Profe-dueña venezolana.,
Le Mouvement Parfait,"Arcos 1399, C1426 BGE, Cdad. Autónoma de Buenos Aires",Belgrano,1147842806,lemouvement.parfait@yahoo.com.ar,-,,"4,6x23",,-,"Básico, paredes rosas,",,"Hace 7 meses: Muy mala experiencia. Fue una FALTA DE RESPETO a mi madre de 90 años . El miércoles 5 de marzo mi madre se acerca para averiguar horarios , y le dicen que regrese después de las 13 hrs .regresa a las 13.30 y le dicen que están en clase que regrese entre las 14 hrs y las 15hrs . Regresa a las 14.30hrs y nadie la atiende . Llama por teléfono y cel. a los números que están en la puerta y nadie contesta . Realmente una falta de profesionalismo",,,,CHM2+9V Cdad. Autónoma de Buenos Aires,"Google maps, face",31-10-25,"Profe kinesióloga,",
Espacio Balance,"Moldes 1596, C1426ALT Cdad. Autónoma de Buenos Aires",Belgrano,111558207836,,https://www.instagram.com/espaciobalance/?hl=es-la#,2119,"5,0x120",http://www.espaciobalance.com.ar/,STARKE,"Tonalidades malvas,",,"3 semanas atrás: NuevaMe encantan las clases, son súper dinámicas y las profes siempre atentos. El ambiente es re lindo. Clase a clase me siento más fuerte y salgo con buena energía. Recomiendo totalmente","Somos Espacio Balance, 2 salas de pilates reformer en un mismo estudio, mas de 18 años cuidando tu salud, estamos en el barrio de belgrano, moldes 1596!! .",,"lunes, miércoles y viernes de 8 a. m.–1 p. m., 3–9 p. m. martes y jueves de 8 a. m.–12 p. m., 5–9 p. m. sábado, 9 a. m.–12 p. m.","CGJV+PP Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",3-11-25,,
MovePilates Belgrano,"Cuba 2321, C1428 Cdad. Autónoma de Buenos Aires",Belgrano,111523876757,,https://www.instagram.com/movepilatesbelgrano/?hl=es-la#,3065,"4,8x19",,P&P,,,"Hace 8 meses. Hace muchos años que voy al estudio y Pilates me ayudo mucho a fortalecer mis huesos y reducir la osteopenia. Tome clases son muchos profesores a lo largo de los años y todos fueron muy profesionales. Andrea, la dueña, siempre dispuesta a ayudar y a escucharnos. Lo recomiendo!!!",-,,"Lunes y miércoles de 8 a. m.–1 p. m., 5–9 p. m. martes y jueves 8 a. m.–12 p. m., 1–3 p. m., 4–9 p. m. viernes, 8 a. m.–12 p. m., 5:30–8:30 p. m. sábado, 10 a. m.–1 p. m.","CGRV+FF Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",3-11-25,,
Moon Pilates,"Manuel Ugarte 1667, C1428 Cdad. Autónoma de Buenos Aires",Belgrano,1155837890,,https://www.instagram.com/moonpilates.ba/#,1850,"5,0x23",,-,"Armonioso, con plantas, iluminado.",,"2 semanas atrás. Nueva. Formo parte de Moon hace 4 años, desde que abrió sus puertas. Es un espacio lleno de profesionalismo, dedicación y amor. Te cuidan, te acompañan y te enseñan respetando tus posibilidades, pero siempre motivándote a ir por más. ❤️",,,"lunes, miércoles y viernes 8 a. m.–1 p. m., 5–9 p. m. martes y jueves 8 a. m.–9 p. m. sábado, 10 a. m.–1 p. m.","CGXW+46 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",04-11-25,,
"Pilates by CORE - RECOLETA, MANSILLA","Gral. Lucio Norberto Mansilla 2714, C1425 Cdad. Autónoma de Buenos Aires",Recoleta,-,-,,,,,,,,,,,,"CH3V+MP Buenos Aires, Cdad. Autónoma de Buenos Aires",,,TIENE 6 SEDES,
Aura Pilates Recoleta,"Arenales 2250, C1124 Cdad. Autónoma de Buenos Aires",Recoleta,54 9 11 3111-6662,,https://www.instagram.com/aura.pilates.recoleta/?hl=es#,2512,4.5x36,,-,"Tonalidades azules, reformer de caño- modernos. Espacio pequeño.",,Hace 5 meses: Hace dos años que tomo clases en Aura Pilates y me cambió la vida! Me reinicio cada vez que salgo de las clases!! Se los recomiendo 👌 Todos los profes son super profesionales y al ser pocos alumnos es una clase personalizada,-,,"Lunes a viernes de 8 a. m.–10 p. m. sábado, 10 a. m.–12 p. m.","CJ42+6F Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",05-11-25,"Tiene dos sedes, otra en Talcahuano1186",
Go Fit Pilates Recoleta,"Laprida 1173, C1425 Cdad. Autónoma de Buenos Aires",Recoleta,1132068315,,https://www.instagram.com/go_fit_pilates/#,1047,"5,0x13",https://go-fit.com.ar/,APC,"Armonioso, tonalidades azules.",,"Hace 9 meses. Mucha variedad de horarios, clases cómodas y efectivas, y todos los materiales de trabajo están en excelente estado. Siempre se crea un ambiente excelente, desde las profesoras hasta el grupo de compañeras con quien compartís las clases. Además Sergio, el dueño, siempre está predispuesto y se nota que realmente se preocupa por el lugar y por los alumnos. Súper super recomendable!","Pilates Go Fit es un espacio dedicado al bienestar y la salud en Recoleta. Contamos con 2 sedes, una en Av. Córdoba 1525 6 piso y Laprida 1173.En ambas sedes encontrarás un ambiente acogedor donde combinamos movimiento, concentración y técnicas precisas para mejorar tu postura, fortalecer tu cuerpo y relajarte. Nuestras profesoras se adaptan a tus necesidades, ya seas principiante o avanzado.Horarios flexibles y opciones para todas las edades. Visítanos y descubre cómo transformar tu cuerpo y mente con Pilates Go Fit.",,"Lunes a viernes 8 a. m.–10 p. m. sábado, 9 a. m.–6 p. m.","CH3R+VR Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",05-11-25,,
Mon Rêve Pilates,"Billinghurst 1263, C1174 Cdad. Autónoma de Buenos Aires",Recoleta,1155692481,,https://instagram.com/monrevepilates?igshid=YmMyMTA2M2Y=,833,"5,0x99",,Studio moderna,"Tonalidades malvas, pared con flores malvas, mariposas.",,"Hace 4 meses. Excelente estudio de pilates! El sistema de turnos es impecable. Las profes todas muy buenas, cada una con su impronta. Especiales gracias a Flor, siempre muy atenta, cuidando a cada alumno según su situación y haciendo clases dinámicas y desafiantes, siempre con la mejor de las ondas.",-,,"Lunes a viernes 8 a. m.–9 p. m. sábado, 9 a. m.–1 p. m.","CH3P+XJ Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",05-11-25,,
ÂME Pilates Body Ballet,"Agüero 1595, C1425 Cdad. Autónoma de Buenos Aires",Recoleta,111531920990,cámara ,https://www.instagram.com/ame.pilatesbodyballet/?hl=es#,,"4,9x37",http://www.amepilates.com.ar/,Del Río Pilates,"Iluminado, amplio, armonioso.",siguefit,"una semana atrás. Nueva Increíble el nuevo espacio. El staff de profesionales es excelente y la forma en que abordan la danza y el pilates hace que cada clase sea súper enriquecedora. El lugar es cálido, motivador y muy cuidado. ¡Lo mejor en pilates, sin dudas!",-,,"Lunes a viernes de 9 a. m.–9 p. m. sábado, 9 a. m.–12 p. m.","CH5V+64 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",05-11-25,"La profe es bailarina, miembro de la cámara de pilates. Tiene una sede en Recoleta y otra en Begrano.",
SoulPilates,"French 2260, C1428 Cdad. Autónoma de Buenos Aires",Recoleta,1165059761,,https://www.instagram.com/soulpilates_sentitebien/?hl=es#,1222,"4,1x27",,P-equipe,"Colorido, básico.",,Hace 8 meses. Excelente lugar de pilates!! Clases muy buenas para hombres. Super recomendable. Gracias a las clases mejoro mucho mi postura,-,,"Lunes a viernes de 8 a. m.–12 p. m., 4–9 p. m. sábado, 8 a. m.–9 p. m. domingo, 8 a. m.–9 p. m.","CJ52+7V Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps,ig",05-11-25,Se ve viejo el studio.,
Ameray Pilates,"Larrea, C1117 Cdad. Autónoma de Buenos Aires",Recoleta,111522531106,,https://www.instagram.com/ameray_pilates/,3657,"5,0x23",,Studio Moderna,"Tonalidades azules, espacio pequeño, armonioso.",,"Hace un mes. Empece pilates con Romi hace mas de un año y medio, destaco el profesionalismo, la buena onda y buena predisposición de Romi y su equipo para con sus alumnas. El estudio esta equipado con todo lo necesario, es muy luminoso y calido. Tienen muchos horarios a lo largo de todo el dia. Me encantan ir progresando y ganando mas fuerza en cada clase. Agradezco el dia en que encontré este espacio!.",-,,"Lunes a jueves de 8:30 a. m.–8 p. m. viernes, 8:30 a. m.–7 p. m.","CJ52+G5 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",05-11-25,Tiene dos sedes en Recoleta.,
Otis Pilates,"Peña 2630 Recoleta Galería, UF 134, C1421 Cdad. Autónoma de Buenos Aires",Recoleta,1158457243,,https://www.instagram.com/otispilates/?hl=es-la#,703,"5,0x22",,Studio moderna,"Armonioso, colores en torno al beige, plantas.",,"Hace 5 meses. Hermoso ambiente, divina las profes! Las amo y la paciencia uff!! Genial",-,,"Lunes a viernes de 8 a. m.–8 p. m. sábado, 8 a. m.–12 p. m.","CH6X+JG Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",05-11-27,,
MS Pilates,"Laprida 2164, C1425EKX Cdad. Autónoma de Buenos Aires",Recoleta,1154165684,,https://www.instagram.com/pilates.ms/?hl=es#,645,"4,6x25",,-,Básico.,,"Hace un mes. Voy hace años y las clases son espectaculares! Los profes son muy atentos, te corrigen si haces mal un ejercicio, las clases son dinamicas y variadas. Recomendadisimo",-,,"Lunes a viernes de 8 a. m.–9 p. m. sábado, 11 a. m.–1 p. m.","CJ72+9H Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",06-11-25,,
Pilates Delpino,"Agüero 2241, C1425EHW Cdad. Autónoma de Buenos Aires",Recoleta,1153189076,,https://www.instagram.com/pilates.delpino/?hl=es#,5720,,https://www.pilatesdelpino.com/,Studio moderna,Amplio,,,,,,"CH7X+6P Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",06-11-25,"Tiene tres sedes: Virrey del Pino 2413, Olazábal 2417, Agüero 2241",
Meraki Yoga & Pilates,"Juan María Gutiérrez 2775, C1425 Cdad. Autónoma de Buenos Aires",Recoleta,1164757300,,https://www.instagram.com/meraki.omlates/#,8772,"5,0x44",,-,,https://merakiyoga.luweva.online/,No hay recientes,"Este lunes 22 de septiembre abrimos las puertas de OM LATES, la nueva propuesta de pilates en Meraki. Sumate a nuestras primeras clases y descubrí cómo transformar tu bienestar con cada movimiento. Tenés una clase de prueba gratis! Juan María Gutiérrez 2775",Yoga,,"CH7X+HM Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Ig",06-11-25,Om lates sería el nombre del Estudio.,
Studio recoleta pilates,"Austria 2272 6C, C1425 Cdad. Autónoma de Buenos Aires",Recoleta,1169473832,,https://www.instagram.com/studiorecoletapilates/?hl=es#,1212,"3,7x3",,Studio moderna Pilates,Básico.,,"Hace 8 meses: disfruté plenamente las clases de Fernanda y de Emi, pero las que da Fernando, me parece de un destrato su forma de corregir, a revisar las formas!",,,,"CH7X+C4 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",10-11-25,,
Epiler Recoleta,"Sánchez de Bustamante 2372, C1425 Cdad. Autónoma de Buenos Aires",Recoleta,111552297856,,https://www.instagram.com/epilerclinic/?hl=es#,105 mil,"4,6x273",https://epiler.mitiendanube.com/,Del Río Pilates,Básico,,-,-,,"Martes a viernes de 9 a. m.–8 p. m. sábado, 9 a. m.–6 p. m.","CH7W+PC Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",10-11-25,Es un estudio de pilates dentro de un Centro de Estética.,
"Ser Zen barre, pilates y yoga","Billinghurst 2181, C1425DTQ Cdad. Autónoma de Buenos Aires",Recoleta,1128271774,sfit944@gmail.com,https://www.instagram.com/serzen.barreypilates/#,424,"5,0x8",https://web.bewe.co/serzen,-,"Básico, armonioso, equipos nuevos.",,"2 semanas atrás: Nueva. Primera vez probando barre y me encantó!! Las clases son buenísimas, muy personalizadas y con mucha energía! El lugar está muy bueno y siempre limpio. Definitivamente voy a seguir yendo.","Estudio de barre, pilates y yoga en Recoleta. Somos un espacio creado para entrenar con intención, mejorar la postura, reconectar con la mente y salir de la rutina.","Barre, Pilates semipersonalizado,  Yoga Postura | Fuerza | Cuerpo-mente","lunes, martes y jueves 7:30 a. m.–9:30 p. m. miércoles, 5:30–9:30 p. m. viernes, 8:30 a. m.–8:30 p. m. sábado, 9:30 a. m.–1:30 p. m.","CH7V+88 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Ig",10-11-25,,
Integral Pilates,"Agüero 1764, C1425 Cdad. Autónoma de Buenos Aires",Recoleta,1136195866,,https://www.instagram.com/integralpilatesok/?hl=es#,1058,"5,0x3",,-,Básico,,"Hace 7 meses. Super recomendado por los profes y las clases. El entrenamiento es a medida, se adaptan a tus objetivos, necesidades y/o lesiones. Arranqué aqui y ya no puedo cambiarme de estudio.",-,,"lunes, 7 a. m.–10 p. m. martes, 9 a. m.–9 p. m. miércoles, 8 a. m.–10 p. m. jueves, 10 a. m.–9 p. m. viernes, 8 a. m.–9 p. m. sábado, 9 a. m.–12 p. m.","CH5V+QM Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",10-11-25,,
ESPACIO LUZ PILATES CLASICO,"C1227AAD, Anchorena 1288, C1227AAD AEC, Cdad. Autónoma de Buenos Aires",Recoleta,1125005155,,https://www.instagram.com/espacioluzpilates/#,1152,"4,9x64",,P&P,"Iluminado, amplio, con variedad de equipos.",,"una semana atrás. Nueva. Comencé a tomar clases con Lu hace tres meses y estoy encantada con las clases y con mi progreso. Es un lugar completamente diferente a los demás. Las clases son divertidas, desafiantes y diferentes cada semana. Lu como profe está atenta a que realicemos la técnica correctamente, nos corrige cuando es necesario y se encarga de que haya un avance en cada clase. Dato adicional: el lugar es súper lindo, luminoso, limpio y siempre huele rico.",-,,"lunes, 8 a. m.–9 p. m. martes, 8 a. m.–5 p. m. miércoles, 7 a. m.–4 p. m. jueves, 7 a. m.–5 p. m. viernes, 8 a. m.–8 p. m. sábado, 10 a. m.–1 p. m.",CH4V+6F Cdad. Autónoma de Buenos Aires,"Google maps, IG",10-11-25,,
Fusión Pilates Palermo,"Agüero 1200, C1425 Cdad. Autónoma de Buenos Aires",Palermo Es RECOLETA,111560579144,,https://www.instagram.com/fusionpilatespalermo/,1903,"5,0 x68",,P&P,"Básico, Pelotas de colores y equipos- reformer, cadillac , chair…",,"Fusión Pilates Palermo es realmente excepcional. Por primera vez, he encontrado alivio para mi dolor de ciática gracias a sus maravillosas clases. Cada sesión se personaliza para satisfacer tus necesidades individuales, asegurando que te sientas genial y alcances tus objetivos personales. Silvia y Eli son instructores sobresalientes, y me siento increíblemente afortunada de asistir a sus clases. Como principiante en Pilates, hicieron que la experiencia fuera fácil y agradable, y ahora no puedo imaginar mi vida sin ellas!",-,"Pilates para embarazadas, para adulto mayor, pilates personalizado, Electrodos, masajes.",De lunes a viernes de 8 a. m.–8 p. m.,"CH3R+P3 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",31-07-25,,
RONA Pilates Reformer Recoleta,"Junín 1494, C1113 Cdad. Autónoma de Buenos Aires",Recoleta,1168616267,,https://www.instagram.com/pilatesrona.recoleta?igsh=Y3NhcHBkdHJ5eGEz,5370,"3,7x6",https://ronapilates.com.ar/,-,"Amplio, dos salas, espacioso, lámparas, luces.",,"2 semanas atrás. Nueva A pesar de ser inaugurando recientemente, las camillas son de mala calidad, se mueven, hacen ruido, los tensores se sueltan, las arreglan con cinta adhesiva. Las instructoras no trabajan de manera integral el cuerpo. Mariana, una de las instructoras, tiene mal modo de responder, no está atenta verificando si los ejercicios se hacen de manera correcta para no lastimarse. Agustina ni siquiera mira a los alumnos, no cuenta las series, propone ejercicios que muchos no pueden realizar, mira el celular, no corrige las posturas de los alumnos. La única que se interesa en cómo realizan los ejercicios, corrige y acompaña es Denise. Sumado a que bloquean turnos y cuando llegas, están las dos instructoras pero acumulan a las personas en una sala con una sola profesora.","Rona nació en 2022 con la visión de llevar el Pilates a otro nivel, combinando la esencia de la disciplina con una planificación estratégica que garantice resultados reales y medibles. Desde el inicio, nuestra propuesta innovadora nos permitió crecer rápidamente, estableciendo dos sedes en España: Valencia y Catarroja.El éxito de nuestro método, la comunidad que construimos y los resultados obtenidos nos llevaron a dar un paso más: expandir Rona a Argentina. Así nació nuestra sede en Buenos Aires, con la misma filosofía que nos distingue y un espacio diseñado para que más personas puedan entrenar con propósito y sentir el progreso en cada sesión.",,"Lunes a viernes de 8 a. m.–8 p. m. sábado, 12–4 p. m.","CJ53+JW Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",10-11-25,Tiene dos sedes en España y una en Buenos aires.,
Pilates Club,"Av. Sta. Fe 3138, C1425 Cdad. Autónoma de Buenos Aires",Recoleta,1141811763,,https://www.instagram.com/pilatessclub/profilecard/?igsh=ZTc3MGFpa25weHpr,2918,"4,8x17",,Fox,"Armonioso, moderno, iluminado.",,"Hace 4 meses. Las clases son muy dinámicas y completas la clase se me pasa volando! Las profes son muy buena onda y súper profesionales, están siempre cuidando de que hagamos los movimientos correctos para evitar lastimarnos. Excelente ejercicio y el ambiente es súper agradable!",.,,"Lunes a viernes de 8 a. m.–8 p. m. sábado, 8 a. m.–5 p. m.","CH6R+27 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",11-11-25,,
Studio Secret to Live,"Paraguay 2041, C1121ABE Cdad. Autónoma de Buenos Aires",Recoleta,1149492412,,https://www.instagram.com/secrettolive/#,"22,2 mil","5,0x129",,-,"Equipado, amplio, colorido.",,"Hace un mes. Studio Secret to live es un espacio a cargo de Elizabeth Senatore, “la profe” sabes xq ? Su energía, profesionalismo y dedicación hacen que cada clase en Secret to Live sea una experiencia transformadora. Explica con claridad, corrige con atención y adapta los ejercicios según las necesidades de cada alumno o alumna. ¡Recomiendo sus clases individuales o grupales sin dudarlo!.podes chequear momentos de lo que describo en Instagram @secret to live y luego anda y viví tu propia experiencia.",-,"Pilates, Ref , Mat , Aereo Body Barre Clases Personalizadas Y Grupales . Acrobacia. Elongacion Ent Fcional. Embarazadas. Tercera edad Fit Ball","Lunes a viernes de 8 a. m.–9 p. m. sábado, 9 a. m.–1 p. m.","CJ23+H9 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",11-11-25,,
Anima Estudio Pilates,"José A. Cabrera 3161, C1186AAG C1186AAG, Cdad. Autónoma de Buenos Aires",Recoleta o Palermo,1173647994,,https://www.instagram.com/animapilatesba/?hl=es-la#,3080,"5,0x21",https://www.animapilates.com.ar/,Studio Moderna Pilates,"Moderno, armonioso, tonalidades grises, espejos ovalados. Plantas.",,"Hace 4 meses: Excelente estudio!!! Espacioso, luminoso, instructora capacitada y dueña presente. Que más se puede pedir? Hermoso hacer pilates en un lugar como Anima!",-,"Pilates reformer, Full body workout","Lunes a viernes de 8 a. m.–1 p. m., 4–8 p. m. sábado, 9 a. m.–1 p. m.",CH3Q+7G Cdad. Autónoma de Buenos Aires,"Google maps, IG",11-11-25,,
Genkiro Studio Recoleta,"Av. Sta. Fe 2653, C1425 Cdad. Autónoma de Buenos Aires",Recoleta,91124077737,genkirostudio@gmail.com,https://www.instagram.com/genkirostudio/?hl=es#,1128,-,https://genkirostudio.com.ar/,Fitnees IM?,"Tonalidades naranja (pared), pelotas amarillas, armonioso.",,-,"En Genkiro Studio creemos que el cuerpo y la mente están profundamente conectados. Nuestro objetivo es brindarte un espacio seguro, inspirador y de apoyo donde puedas mejorar tu calidad de vida, superar tus límites y descubrir tu fuerza interior. Ofrecemos clases de Pilates Reformer, Yoga, Stretching y Entrenamiento Funcional en un entorno luminoso, armónico y cuidado al detalle, pensado para que reconectes con vos mismo y vivas la experiencia del movimiento consciente. Nuestros instructores te acompañan con atención personalizada y un enfoque amable, sin importar tu nivel de experiencia.",,Lunes a viernes de 8:00 a 21 en horarios específicos.,"CH4W+M9 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",11-11-25,"Tiene otra sede en: Avenida de los Incas 4237, Villa Ortúzar",
Amazonia Pilates,"Vicente López 1673, C1018 Cdad. Autónoma de Buenos Aires",Recoleta,1170676821,,https://www.instagram.com/amazoniapilates/#,2478,"5,0x6",https://www.amazoniapilates.com/,-,"Armonioso, no tiene cama reformer, tiene torre adherida a la pared.",https://amazoniapilates.luweva.online/,"Editado Hace 6 meses Excelente! Buenisimas las clases!! Impresionante el cambio en mi cuerpo, adquirí mucha fuerza y logré mayor estiramiento. Me siento fuerte y con muchas ganas de seguir para seguir viendo resultados! Los felicito y siempre los recomiendo !",.,Yoga,Lunes a viernes de 8 a. m.–9 p. m.,"CJ56+74 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",11-11-25,,
Nexo Pilates & Therapy Recoleta,"Sánchez de Bustamante 1749, C1425 Cdad. Autónoma de Buenos Aires",Recoleta y Palermo,1144223298,contacto@nexopilates.com.ar,https://www.instagram.com/nexopilates/?hl=es#,"34,2 mil",-,https://www.nexopilates.com.ar/,P&P,"Amplio, moderno, armonioso",,-,-,,"Lunes a viernes de 8 a. m.–9 p. m. sábado, 9 a. m.–1 p. m.","CH5R+M7 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",11-11-25,"Ofrece: Nuestra Escuela de Capacitación Nexo Pilates & Therapy ofrece las Formaciones mas completas y actualizadas cada año. Cursos, Seminarios y Talleres",
Modo Pilates Barrio Norte,"Dr. Tomás Manuel de Anchorena 1260, C1425ELC C1425ELC, Cdad. Autónoma de Buenos Aires",Recoleta,-,,https://www.instagram.com/modopilates_barrionorte/#,610,-,,Armonía ¿,"Amplio, iluminado, tonalidades grises en pelotas, espejos ovalados.",,-,-,,Lunes a viernes de 10:00 a 20:00,CH4V+4C Cdad. Autónoma de Buenos Aires,"Google maps, IG",11-11-25,,
Pilates Más Actividad sucursal Recoleta,"Marcelo Torcuato de Alvear 1381, C1058AAV Cdad. Autónoma de Buenos Aires",Recoleta,1123474694,,https://www.instagram.com/pilatesmasactividad/?hl=es#,1901,"4,8x4",,Studio moderna,"Tonalidades grises, azules y rosas.",,"Hace 4 meses. El lugar es confortable, limpio, luminoso. Todo en las mejores condiciones. Y los profesores, excelentes, las clases son grupales pero se ocupan de cada alumno con indicaciones y correcciones personalizadas. Altamente recomendable.",-,,"Lunes a viernes de 8 a. m.–9 p. m. sábado, 9 a. m.–1 p. m.","CJ37+78 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Ig",11-11-25,Sedes: Villa del parque y Recoleta.,
JaluPilates,"Laprida 1181, C1425 Cdad. Autónoma de Buenos Aires",Recoleta,111550622478,,https://www.instagram.com/jalupilates/#,332,"5,0x19",,-,"Básico, pilates mat?",,"Hace 6 meses. Si buscas atención personalizada, un buen ambiente y que cada clase sea un desafío, hacer pilates con jalu es tu lugar. Excelente profe y persona!! Clases como máximo 4/5 personas donde ella te va guiando y corrigiendo.",-,,Lunes a viernes de 12–10 p. m.,"CH3R+WR Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Ig",11-11-25,,
Maison Pilates & Wellness,"Laprida 1631, C1425 Cdad. Autónoma de Buenos Aires",Recoleta,1122875715,,https://www.instagram.com/maisonpilates.ar/#,9737,-,,-,"Moderno, iluminado, espejos ovalados, lámparas redondas, tonalidades pastel crema, gris.",,-,-,,"Lunes a viernes de 8 a. m.–9 p. m. sábado, 9 a. m.–1 p. m.","CH5W+HF Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Ig",11-11-25,Abrieron 3 noviembre de 2025,
Pilatisa tu vida,"Av. Alicia Moreau de Justo 2030 2° piso, C1107 Cdad. Autónoma de Buenos Aires",Puerto Madero,1138175969,,https://www.instagram.com/pilatisatuvida/?hl=es#,8560,"4,8x17",,-,"Reformer no tradicionales, de metal y color beige, otros clásicos. Espacio amplio e iluminado, con fotos de Pilates, equipado (spine corrector, mat Wall, chair, wunda chair)",,"Hace 2 meses: Empecé hace poco y me encantó. Tienen un plan de clases organizado, con objetivo claros, con profesionalismo, y están en cada detalle TODAS las profes se fijan en tus manos, codos, pies, hombros, y van siguiendo una unidad de ejercicios, y hasta van marcando objetivos. Por ejemplo, nos dicen “vamos a enfocarnos en los abdominales”. Nada de esto me paso en otros lugares, cada profe daba lo que quería y se fijaba en lo que le parecía. Además, TODAS tienen en cuenta las limitaciones de cada una, sin exigir ni “retar”. Esto increíblemente me paso en otros lugares. En Pilatisa todas las profes son divinas y están increíblemente bien instruidas. Y dan buen PILATES, no cualquier cosa! Sinceramente es para destacar el profesionalismo. Y bueno, el lugar está impecable y es lindo.",https://pilatisa.mitiendanube.com/ web,"Pilates circuito, reformer, pilates avanzado.",Lunes- viernes 8 a. m.–8 p. m.,"9JHM+2X Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, web, Instagram",07-08-25,"Instructora formada en Auténtico Pilates, Brasil.",
Desirée Centro de Estetica y Pilates,"Encarnación Ezcurra 449, C1107 Cdad. Autónoma de Buenos Aires",Puerto Madero,1133853970,,https://www.instagram.com/desiree.puertomadero/?hl=es#,2168,"5,0x1",,P&P,"Clásico- Moderno, claro, iluminado.",,,-,"Estética, depilación",Lunes a viernes.,"9JMQ+GC Buenos Aires, Cdad. Autónoma de Buenos Aires",Google maps Instagram,07-08-25,,
