nombre_del_estudio,direccion,barrio,telefono,email,instagram,seguidores,puntaje_google,web,fabricantes_ref,diseno,app,resena_destacada,presentacion,servicios_adicionales,horario,codigo_plus,fuente_de_datos,fecha_recoleccion,observaciones,cantidad_resenas,comuna,zona,tiene_instagram,tiene_web,tiene_email,tiene_app,presencia_digital,tiene_telefono,n_canales_contacto,n_fabricantes,fabricante_multiple
Centropilates BA Núñez,"Amenábar 3611, C1429 Cdad. Autónoma de Buenos Aires",Núñez,1158644224.0,,-,,,https://centropilatesba.com/,,,,"3 semanas atrás: Nueva: Cada clase con Ro es una experiencia excelente, al margen de ser una gran instructora y sus clases las mejores, tiene una calidez humana que hace que uno se sienta muy a gusto. Honestamente, al margen del Centro que es hermoso, ella es el motivo por el cual muchos de nosotros seguimos entusiasmados hace años ♡ Gran trabajo!",,,,"FG2H+4V Buenos Aires, Cdad. Autónoma de Buenos Aires",,,,,13.0,Norte,True,True,False,False,2,True,3,0,False
Imperio Pilates Studio,"Monroe 3879, C1430 Cdad. Autónoma de Buenos Aires",Coghlan,1170651521.0,,imperiopilates.studio,829.0,4.9,,,"Básico. 4 Reformer, pelotas grises, pared gris, iluminación que cambia de color.",,,-,,"Lunes a viernes de 7 a. m.–7 p. m. sábado, 9 a. m.–12 p. m.","CGMG+69 Buenos Aires, Cdad. Autónoma de Buenos Aires",,,Celebran cumples –pilates. Profes muy jovencitas. Ya está cargado en Villa Urquiza.,38.0,12.0,Norte,True,False,False,False,1,True,2,0,False
Almha Pilates,"Saladillo 1188, C1408 Cdad. Autónoma de Buenos Aires",Liniers,1151523205.0,,almha.pilates,1950.0,4.5,,Del Río Pilates,"Pared con césped-pasto artificial, espejos ovalados arriba marca ¿?, pelotas grises y azules.",,"3 semanas atrás Nueva: Desastre de lugar, no son humanos se rigen solo por “la plata”. Primera clase que la pague y no fui porque estaba con fiebre , pido el cambio y me piden que VUELVA a pagar!! Cero humanos, cero interés en sus clientes. Lo peor? Mandan textos peleandote por WhatsApp. Desastre total. Editado 2 semanas atrás: Nueva: Pésima atención a cargo de Magalí. Qué mentirosos que son por favor en la respuesta! Jamás la recepcionista me dio la posibilidad de asistir a la clase de las 9hs. Tampoco estaba completo el turno de las 8hs, al cual me podría haber quedado. Había lugar en ambos horarios. Función: evacuar dudas y resolver inconvenientes de los clientes. Mucho que aprender. Les deseo voluntad y buena onda.La necesitan!",-,"Pilates Reformer, Stretching y Hatha Yoga","Lunes viernes de 8 a. m.–12 p. m., 3–9 p. m. sábado, 9 a. m.–1 p. m.","8FWF+4V Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Instagram,",09-09-25,,41.0,9.0,Oeste,True,False,False,False,1,True,2,1,False
Iluminar Pilates&Bienestar,"Tonelero 7400, C1408 Cdad. Autónoma de Buenos Aires",Liniers,1145404559.0,,iluminar.pilates.bienestar,3021.0,5.0,,,Básico,,"Hace 5 meses: 10 de 10. Honestamente descubrir Iluminar fue un antes y un después, no solo vas a entrenar, vas a pasarla bien. Cada clase con Caro es un cago de risa, te despejas, te relajas, y encima te arropan los michis. ( Que si no te gustan no importa, ellos se quedan afuera ) Gracias a todo el equipo y aguante el turno noche",-,Entrenamiento funcional.,"lunes, 2–9 p. m. martes y jueves 8 a. m.–9 p. m. miércoles y viernes de 12–9 p. m. sábado, 10 a. m.–2 p. m.","8FXF+9Q Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Instagram",09-09-25,Pilates- danza. Usa frases de Paulo Cohelo,46.0,9.0,Oeste,True,False,False,False,1,True,2,0,False
Erevan Pilates,"Av. Lisandro de la Torre 756, C1408 Cdad. Autónoma de Buenos Aires",Liniers,111556356046.0,,erevan_pilates,2242.0,4.8,,,"Básico. Pelotas rojas azules, reforme clásicos.",,No hay recientes.,-,,"Lunes a viernes 8 a. m.–8 p. m. sábado, 8 a. m.–12 p. m.","9F3J+62 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, instagram",09-09-25,,26.0,9.0,Oeste,True,False,False,False,1,True,2,0,False
Ludemma Pilates y Yoga,"Cnel. Ramón L. Falcón 6602, C1408 Cdad. Autónoma de Buenos Aires",Liniers,1123967699.0,,ludemmapilatesfitness,2246.0,4.9,,,"Básico. Tonalidades malvas, pelotas, pared, mat.",,Hace un año: Clases muy lindas y dinámicas. Las profes son súper dedicadas y están pendientes de todos los alumnos. Lograron que me entusiasme hacer actividad física,-,"Yoga, Streching, Gap, funcional, Zumba,","Lunes a viernes 8 a. m.–9 p. m. sábado, 9 a. m.–12 p. m.","9F5J+R4 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Instagram",09-09-25,Están desde 2017,32.0,9.0,Oeste,True,False,False,False,1,True,2,0,False
JVS Pilates,"Av. Rivadavia 11067, C1408 Cdad. Autónoma de Buenos Aires",Liniers,1164944812.0,,pilates.jvs,1804.0,4.9,,NUEVA LINEA JVS PILATES REFORMER y Studio moderna pilates.,"Básico, trabaja con diseño (logo en equipos JVS). Color naranja, gris,",,"Editado Hace 10 meses:Excelente profesora, con formación en Danza clásica, lo que hace de cada clase una delicada experiencia. El estudio JVS es un hermoso espacio para relajar y centrarse en uno mismo. Los resultados de la actividad física con pilates reformer por biomecánica son increíbles.",-,"En JVS Pilates formamos instructores con bases sólidas, correcciones reales y una mirada integral del movimiento.","lunes, 8–11 a. m., 4:30–9:30 p. m. martes y jueves, 8–11 a. m., 4–10 p. m. miércoles, 9 a. m.–11 p. m. viernes, 8–11 a. m., 4–8 p. m. sábado, 10 a. m.–1 p. m., 2–4 p. m.","9F6H+FG Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Instagram.",09-09-25,Ver el tipo de reformer y la marca que promocionan.,31.0,9.0,Oeste,True,False,False,False,1,True,2,2,True
Life Pilates,"Fonrouge 213, C1408 Cdad. Autónoma de Buenos Aires",Liniers,1141582244.0,,life_pilates1,481.0,5.0,,Studio Moderna,Básico.,,,,,"Lunes a jueves de 8–11 a. m., 5–9 p. m. viernes, 8:30–11:30 a. m. sábado, 9 a. m.–12 p. m.","9F5P+GC Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Instagram.",09-09-25,Tiene otro equipos que no son del método.,1.0,9.0,Oeste,True,False,False,False,1,True,2,1,False
Bive Pilates,"Av. Rivadavia 10814, C1408AAV Cdad. Autónoma de Buenos Aires",Liniers,111530874614.0,,bivepilates,5468.0,4.9,https://www.bivepilates.com.ar/,P&P,"Iluminado, amplio.",,"Hace 4 meses: Me encantó la experiencia super recomendable para realizar. Una experiencia muy hermosa, desde el nivel de profesionalismo hasta de amabilidad de las profesoras. No dejen de conocer este hermoso lugar lleno de energía hermosa. Gracias por todo Moni, Sole.","En Bive Pilates, nuestra misión es brindarte una experiencia única enfocada en tu bienestar integral. Contamos con un equipo de instructores altamente capacitados que te guiarán en cada sesión para fortalecer tu cuerpo, calmar tu mente y potenciar tu bienestar general.","Pilates aéreo, circuito, Yoga, entrenamiento funcional, Stretching","Lunes a viernes 8 a. m.–9 p. m. sábado, 8 a. m.–2 p. m.","9F6M+6F Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, web, Instagram",09-09-25,Está muy organizada toda la info en la web. Ofrecen instructorado.,61.0,9.0,Oeste,True,True,False,False,2,True,3,1,False
SerUno Pilates Reforme,"Araujo 476, C1408 Cdad. Autónoma de Buenos Aires",Liniers,,,serunobienestar,1320.0,4.9,,Studio moderna Pilates y P&P,"Tonalidades en torno al malva (piso, pared), pelotas grises y naranjas.",,"Hace un mes: Ambiente muy agradable y limpio, buen estado de camas y accesorios , excelentes profesoras, cumplen estrictamente los horarios de las clases , prolijo manejo administrativo y excelente atención a alumnos . Altamente recomendable !!!",-,,"lunes, 10–11 a. m., 4–9 p. m. martes y viernes 8 a. m.–12 p. m., 5–9 p. m. miércoles y jueves, 9 a. m.–12 p. m., 5–9 p. m. sábado, 10 a. m.–1 p. m.","9F5W+2P Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Instagram",09-09-25,Existen desde el 2011. Las redes con información detallada del servicio que ofrecen. g,61.0,9.0,Oeste,True,False,False,False,1,False,1,2,True
Vital Pilates,"Echenagucía 28, C1408 Cdad. Autónoma de Buenos Aires",Liniers,1165073256.0,,pilatesvital.ok,1929.0,5.0,,Del Río Pilates,Básico,,Hace 4 meses: Hace casi dos años que voy y siempre algo nuevo. Las profes genias totales con un trabajo totalmente personalizado y profesional. Se crea un ambiente amoroso y divertido. Super recomiendo Vital Pilates.,-,,"lunes, 8 a. m.–9 p. m. martes, 8 a. m.–12 p. m., 1–9 p. m. miércoles, 8 a. m.–12 p. m., 4–9 p. m. jueves y viernes 8 a. m.–12 p. m., 5–9 p. m. sábado, 9 a. m.–12 p. m.","9F6R+MW Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Instagram",09-09-25,Ofrecen un instructorado.,31.0,9.0,Oeste,True,False,False,False,1,True,2,1,False
Carpe Diem Pilates Clásico,"Reservistas Argentinos, Av. Álvarez Jonte y, C1408 Buenos Aires",Liniers,,,carpediem_pilatesclasico,226.0,5.0,,Reformer de caño,básico,,"Hace 10 meses: Pilates clásico me esta ayudando a sentir mi cuerpo, aumentando mi equilibrio , mejorando mis musculos y beneficiandome para no lesionarme cuando practico tenis. Carla es la mejor profesora que he tenido y hace que la práctica sea mejor aún.",,,"lunes, 4:30–7:30 p. m. martes a jueves 4–8 p. m",-,Google map Instagram,09-09-25,"El 40% del alumnado de Carpe Diem son hombres (dedicado a los que dicen que Pilates es ""para mujeres"")",7.0,9.0,Oeste,True,False,False,False,1,False,1,1,False
Ikal,"Inclán 2518, C1258 Cdad. Autónoma de Buenos Aires",Parque Patricios,1131557966.0,,ikal.estetica,885.0,5.0,,,Básico.,,"Hace un año: Son excelentes, super cálidos desde su dueña Flavia que es amable, amorosa, empática y respeta mucho a las clientas hasta las 2 profesoras que tengo, Claudia en pilates que es un sol, muy profesional y afectuosa y Monica de yoga super exigente y cuidadosa, explicando detalladamente cada ejercicio y enseñándote bien las posiciones. Yo hacía muchísimos años que no hacía actividad física y acá encontré un lugar en el que espero que se haga la hora para concurrir. Gracias a todas!!! Ikal es mi lugar!!! Pato",-,"Cosmetologia, Depi definitiva, Pilates, Yoga, Pestañas, Cejas, Manicuria, Pedicuria,","Lunes a viernes de, 10 a. m.–9 p. m.","9JC2+22 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Instagram",11-09-25,,4.0,4.0,Sur,True,False,False,False,1,True,2,0,False
Estudio del Sur Pilates,"Inclán, Av. Jujuy &, Buenos Aires",Parque Patricios,1170641754.0,,estudiodelsurpilates,1169.0,5.0,,,Básico.,,"Hace un año: Es -El- lugar para hacer pilates! Profes muy piolas, dedicadas y atentas con las alumnas. En cuanto al espacio muy agradable, híper prolijo y todo cuidado. Además es re completo en cuanto a elementos, con lo que Nunca una clase es igual a otra. Se la pasa bien en Estudio Sur!",-,,Lunes a viernes 8 a. m.–9 p. m.,"9H9X+XJ Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Instagram",11-09-25,,21.0,4.0,Sur,True,False,False,False,1,True,2,0,False
Patricia Pilates Castillo,"15 de Noviembre y Pichincha, Buenos Aires",Parque Patricios,1133244192.0,,pilatesquality,805.0,,,,Básico,,,,"Pop Dance, yoga, depilación","Lunes a viernes 10 a. m.–9 p. m. sábado, 9 a. m.–5 p. m.","9J83+R9 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Instagram,",11-09-25,,,4.0,Sur,True,False,False,False,1,True,2,0,False
Non solo Pilates,"Brasil 2747, C1246 Cdad. Autónoma de Buenos Aires",Parque Patricios,1156688114.0,,nonsolopilates/profilecard,1895.0,4.8,,,,,"Hace 5 meses: Triple B: bueno, bonito y barato. Profes muy buenos, creo que tuve clases con todos o la mayoría. Cada uno tiene su estilo y chispa, pero las clases son muy buenas. Horarios variados, podés tener hasta dos días fijos y recuperar clases que anules con tiempo. Me encanta!",-,,"Clases de lunes a lunes, de 8 a 22 hs","9H9W+3W Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Instagram",11-09-25,Una de las profes tiene formación en danza clásica. Tienen un local con un reformer para clases personalizadas.,23.0,4.0,Sur,True,False,False,False,1,True,2,0,False
Leitmotiv Pilates,"Av. Caseros 2974, C1263 Cdad. Autónoma de Buenos Aires",Parque Patricios,541176273762.0,,leitmotivpilates,1415.0,5.0,,P-Equipe,Básico. Tonalidades en torno al verde.,,,,,,"9H7W+44 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, instagram",11-09-25,Poca información disponible.,6.0,4.0,Sur,True,False,False,False,1,True,2,1,False
Valestar bien,"Cátulo Castillo 3072, C1243AER Cdad. Autónoma de Buenos Aires",Parque Patricios,1158301953.0,,valestar_bien,1424.0,4.8,,Studio Moderna,Básico.,,"4 semanas atrás: Excelente estudio de pilates, clases profesionales que se adaptan a cada persona y que te desafían a ir por más. Vale es una gran persona ante todo, ella está allí para que ese momento sea cálido, cuidado, y a la medida. No se trata de que todos hagamos lo mismo, se trata de que cada persona reciba la rutina adecuada y eso viene de la mano y el conocimiento de Vale. 1000% recomendable!",-,"Pilates.Atención nutricional, sesiones de Biodecodificacion","Lunes y viernes 9 a. m.–8 p. m. martes y jueves 9 a. m.–9 p. m. miércoles, 3 a. m.–8 p. m. sábado, 10 a. m.–1 p. m.","9H8R+2X Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, instagram",11-09-25,,64.0,4.0,Sur,True,False,False,False,1,True,2,1,False
Yoga y Pilates,"Av. Caseros 2825, C1264 Cdad. Autónoma de Buenos Aires",Parque Patricios,1124642974.0,,-,,4.8,,,,,"Hace un mes: Estoy asistiendo a clases de pilates desde hace varios meses y vengo muy contenta con mi proceso. Puedo notar el cambio en la fuerza, el tono y la flexibilidad. Las clases con Marina son con grupos reducidos, donde reina el respeto y la buena onda, junto con el cuidado que como instructora le pone a cada participante. Recomiendo este espacio al 100%",,,,"9H7W+CX Buenos Aires, Cdad. Autónoma de Buenos Aires",Google maps,11-09-25,"Poca infor, no encontré el Instagram, ni el horario.",33.0,4.0,Sur,True,False,False,False,1,True,2,0,False
Espacio Compromiso Bienestar,"Salcedo 3274, C1259 Cdad. Autónoma de Buenos Aires",Parque Patricios,1141408258.0,,compromiso.bienestar,1039.0,5.0,,,Básico.,,Hace 7 meses: Hermoso espacio con excelentes actividades y profesionales comprometidos!,-,"Meditación budista, danza.","Lunes a viernes 10 a. m.–8 p. m. sábado, 10 a. m.–6 p. m.","9H8Q+RJ Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Instagram",11-09-25,Instructor vinculada a la danza.,21.0,4.0,Sur,True,False,False,False,1,True,2,0,False
Estetica Glow,"Catamarca 1692, C1248 Cdad. Autónoma de Buenos Aires",Parque Patricios,1153193995.0,,glowpilatess,833.0,,,,Básico,,,-,cuidado de la piel y el cuerpo. Tratamientos personalizados,"Lunes a viernes 8 a. m.–8 p. m. sábado, 9 a. m.–12 p. m.","9HCX+24 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, instagram",11-09-25,Es dentro de un espacio de Estética.,,4.0,Sur,True,False,False,False,1,True,2,0,False
Centro Pilates Buenos Aires,"Guaminí 5288, C1439 Cdad. Autónoma de Buenos Aires",Villa Riachuelo,1162506582.0,,pilates_bsas,2447.0,5.0,,,Básico,,,,,"Lunes a viernes 8 a. m.–8 p. m. sábado, 9 a. m.–1 p. m.","8G5G+PW Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Instagram",11-09-25,,6.0,8.0,Sur,True,False,False,False,1,True,2,0,False
Umana Pilates Caballito,"Guaminí 5173, C1439HAM Cdad. Autónoma de Buenos Aires",Villa Riachuelo,,,humanupilates,2584.0,,,,"Equipado, básico.",,-,-,"Instructor de Pilates clásico y contemporáneo, Instructor de Indoor cycle, Instructor de Spinning.","Lunes a viernes 8 a. m.–9 p. m. sábado, 10 a. m.–1 p. m.","8G6G+29 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Instagram",11-09-25,Este profe lo seguía por algo en particular… buscar.,,8.0,Sur,True,False,False,False,1,False,1,0,False
V.A. Pilates & Stretching,"Timoteo Gordillo 2435, C1440EEW Cdad. Autónoma de Buenos Aires",Mataderos,1121716897.0,,-,,5.0,,,Básico,,Editado Hace un mes: Me anoté hace 6 meses para rehabilitar mi musculatura. Avancé muchísimo gracias a que la profe estuvo muy atenta a mis necesidades y limitaciones. Estoy muy feliz por haber conocido este espacio. Super recomendable,https://www.facebook.com/people/VA-Studio-Pilates-stretching/61564964738665/,,"Lunes a viernes 8 a. m.–8 p. m. sábado, 9 a. m.–1 p. m.","8FQX+25 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, face",11-09-25,No encontré el instagram,4.0,9.0,Oeste,True,False,False,False,1,True,2,0,False
Pilates Mat y Reformer Bio Gym,"Corvalán 2154, C1440 Cdad. Autónoma de Buenos Aires",Mataderos,111567856924.0,,No encontré,,4.0,,Spa,Básico,,"Hace 8 meses: Mala atención, responde los mensajes cuando quiere",,,,"8GR7+VX Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps,",11-09-25,Poca información disponible,5.0,9.0,Oeste,True,False,False,False,1,True,2,1,False
SOY Pilates,"Francisco Bilbao 4927, C1440BFA Cdad. Autónoma de Buenos Aires",Mataderos,,,salayosoy,,,,,Básico. Tonalidades en torno al malva y el rojo (equipos y pelotas),,-,,,,"8GW8+C7 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Instagram",11-09-25,Poca info,,9.0,Oeste,True,False,False,False,1,False,1,0,False
Sol Pilates,"Remedios 4912, C1407 Cdad. Autónoma de Buenos Aires",Mataderos,,,sol.pilatess,496.0,5.0,,Hek,Básico. Tonalidades en torno al rojo. Equipos- reformer viejos.,,Hace un año: El mejor entrenamiento personalizado a precios únicos. El deporte más saludable dado con responsabilidad y compromiso. Muy recomendable,,,"Lunes a viernes 8 a. m.–8 p. m. sábado, 8 a. m.–12 p. m.","8GX6+4G Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Instagram",11-09-25,,6.0,9.0,Oeste,True,False,False,False,1,False,1,1,False
Mantra Yoga y Pilates,"Oliden al 1500, C1440 Cdad. Autónoma de Buenos Aires",Mataderos,1155255327.0,mantraconsultas@gmail.com,-,,4.9,https://espaciomantrayoga.com.ar/,,básico,,No hay recientes,"Mantra es un espacio donde trabajamos integralmente. Entendemos que cada persona es única y que cada ser para estar sano debe mantenerse en equilibrio físico, emocional y espiritual, entendiendo que todo fluctúa, se mueve, se transforma, que nada permanece estático; y así vamos adaptándonos y acompañando esos movimientos que la naturaleza y la vida nos presenta día a día .","Talleres y Workshops de Terapia sonora, Automasajes y Relajación, Yoga Nidra, Alivio del dolor cervical-lumbar, y más.",,"8FWW+JC Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, web",12-09-25,,15.0,9.0,Oeste,True,True,True,False,3,True,4,0,False
SerUno • Pilates Reformer,"Araujo 476, C1408 Cdad. Autónoma de Buenos Aires",Villa Luro,,,serunobienestar,,4.9,,Studio Moderna,Básico,,"Hace un mes. Ambiente muy agradable y limpio, buen estado de camas y accesorios , excelentes profesoras, cumplen estrictamente los horarios de las clases , prolijo manejo administrativo y excelente atención a alumnos . Altamente recomendable !!!",-,,"lunes, 10–11 a. m., 4–9 p. m. martes, miércoles y jueves de 8 a. m.–12 p. m., 5–9 p. m. viernes, 8 a. m.–12 p. m., 5–9 p. m. sábado, 10 a. m.–1 p. m.","9F5W+2P Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, instagram",12-09-25,,61.0,10.0,Oeste,True,False,False,False,1,False,1,1,False
Pilates Studio Sabrina Feal,"Leopardi 190, C1407 Cdad. Autónoma de Buenos Aires",Villa Luro,1123925650.0,,pilates.studio.sabrinafeal,999.0,5.0,,Del Río Pilates,"Básico. Tonalidad rosa, colchonetas, pelotas grisesa",,"Hace un año: Excelente lugar y más que excelente profesora, Sabri es lo más!! No solo explica bien y muestra como se deben hacer los ejercicios, sino que es súper amable, amorosa y divertida",-,"Acrobacias, Pilates reformer,Reformer postural, Stretching, Training mix Yoga","Lunes a viernes, 8 a. m.–8 p. m. sábado, 9 a. m.–12 p. m.","9G63+52 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, instagram",12-09-25,,6.0,10.0,Oeste,True,False,False,False,1,True,2,1,False
Bive Pilates Villa Luro,"Av. Rivadavia 9823, C1407 Cdad. Autónoma de Buenos Aires",Villa Luro,1170663086.0,,bivepilates,,,https://www.bivepilates.com.ar/,P&P y FOX,,,"Hace 2 meses: Llevo un mes de clases y estoy muy contenta! El lugar es agradable, limpio, los equipos son muy cómodos y sobre todo destaco el profesionalismo de la profe Fernanda! Está pendiente a todos los detalles y el trabajo en el cuerpo es tan profundo como llevadero 🙌🏼 siempre con buena onda!",-,,"Lunes a viernes de, 8 a. m.–9 p. m. sábado, 9 a. m.–2 p. m.","9F6W+XW Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, instagram",12-09-25,Tiene una sede en Villa Luro y otra en Liniers. Toda la información en web.,,10.0,Oeste,True,True,False,False,2,True,3,2,True
VALU pilates reformer funcional,"Av. Juan Bautista Justo 8150, C1407 Cdad. Autónoma de Buenos Aires",Villa Luro,,,valupilatesyfuncional,6187.0,4.7,,Studio Moderna,Básico,,"Hace 5 meses. Excelente persona y profe. Maru es super dinamica con sus clases, te motiva para superar todos tus limites. Clases intensas y variadas, si te gusta mucho el deporte es por aca!",,,Lunes a viernes de 8 a. m.–9 p. m,"9F8X+P2 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Instagram",12-09-25,,30.0,10.0,Oeste,True,False,False,False,1,False,1,1,False
Yoga y Pilates Villa Luro,"Av Canónigo M. C. del Corro 615, C1407 Cdad. Autónoma de Buenos Aires",Villa Luro,1163736001.0,,yogaromy,2069.0,4.9,,,Básico.,,"3semana atrásNuevaRecomiendo mucho el instructorado. Tiene una excelente calidad de educación y de los contenidos enseñados. Entregan apuntes para reforzar lo aprendido en cada clase, así como también, se realizan prácticas es muy completo. Las profesoras son unas genias con gran dedicación para enseñar. El espacio es luminoso, amplio y la ambientación es muy acogedora. Le pongo 10 a todo!!",-,Clases e INSTRUCTORADO de 𝐏𝐢𝐥𝐚𝐭𝐞𝐬 Reformer/CLASES de Yoga /Columpios/Elongación,"Lunes a viernes 10 a. m.–9 p. m. sábado, 10 a. m.–3:30 a. m.","9G92+39 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, instagram",12-09-25,Ofrecen instructorado.,39.0,10.0,Oeste,True,False,False,False,1,True,2,0,False
LINA PILATES,"Av. Juan Bautista Justo 7871, C1407 Cdad. Autónoma de Buenos Aires",Villa Luro,1131632450.0,,linastudiopilates,1427.0,5.0,,Studio Moderna,Básico. Tonalidades en torno al malva. Pelotas grises.,,Hace 5 meses: Voy hace más de 2 años.... Nunca pude sostener una actividad física hasta que conocí Lina...Muchas dedicación de parte de las profes y además se forman hermosos grupos. Personalmente me divierto mucho... Lo recomiendo 100 %,-,,"Lunes a viernes 8 a. m.–12 p. m., 3–9 p. m. sábado, 8 a. m.–12 p. m., 3–9 p. m.","9F9X+9X Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps,",12-09-25,,26.0,10.0,Oeste,True,False,False,False,1,True,2,1,False
206 Pilates Studio,"Santiago de las Carreras 7, C1407KTA Cdad. Autónoma de Buenos Aires",Vélez Sársfield,1126649896.0,,pilates206.ar,,4.3,,Life Pilates,Básico. Tonalidades verdes.,,"Hace 4 meses: Las profesoras que me tocaron son geniales, muy profesionales y atentas. Pero la parte administrativa es un desastre, no hay una atención personalizada. Cuando te comunicas aluden que son varias personas haciendo diferentes trabajos, pero la comunicación entre estas personas parece que es inexistente. No son considerados ni con las recuperaciones ni con la fecha de alta de las clases al inicio del mes.",,,"Lunes y martes 8 a. m.–10 p. m. miércoles y viernes 7 a. m.–9 p. m. jueves, 7 a. m.–10 p. m. sábado, 8 a. m.–3 p. m.","9G76+M6 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Instagram",12-09-25,,106.0,,,True,False,False,False,1,True,2,1,False
Sukha Pilates Core Center,"Av. Rivadavia 8945, C1407 Cdad. Autónoma de Buenos Aires",Vélez Sársfield,1168255763.0,,sukha.pilatescorecenter/profilecard,,4.6,,Del Río Pilates,,,"Hace un mes: Una estrella mucho!!! ver opinión anterior!! Vas personalmente para acomodar horario y dicen por Whatsapp!! Escribo un viernes, acuerdo dia martes y jueves a las 10, el sábado transferia, no pude. Escribo el lunes, problema para acordar el horario, finalmente cierro en uno que no me convencia. A las 23 h me confirman que su pyedo martes y jueves. Voy martes 5 y no!! Se equivocó!! Dice llegar en horario, llegué a las 10 y la clase habia empezado, devolvio el dinero!! Pero son un desastre!!",,Naturopatía,-,"9G75+QW Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Instagram",12-09-25,"Tiene tres sedes. Instagram muy cargado, ruido visual.",27.0,,,True,False,False,False,1,True,2,1,False
Mikigai Pilates,"Segurola 1036, C1407 Cdad. Autónoma de Buenos Aires",Floresta,111558105355.0,,mikigai.pilates,874.0,5.0,,Studio Moderna,"Básico. Pared de hojas artificiales, tonalidades verdes. Trabajo en madera, pelotas grises.",,"Hace 2 meses. Más que encantada con este hermoso lugar. Todas las profes son divinas y sus clases son muy buenas. Ya hace casi un año que voy y me encanta este espacio, me siento más que cómoda y veo muchísimo el avance en mí. Más que recomendado",-,,"Lunes a viernes de, 8 a. m.–9 p. m. sábado, 9 a. m.–1 p. m.","9GF5+96 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, instagram",12-09-25,,42.0,10.0,Oeste,True,False,False,False,1,True,2,1,False
Pilates en Circuito SD Versalles,"Bermúdez 1186, C1407 Cdad. Autónoma de Buenos Aires",Vélez Sársfield,1124780355.0,,pilatescircuito.sd,1144.0,5.0,,IDPil,En una construcción antigua y despintada.,,"Hace un mes: El estudio es divino. Las clases son dinámicas, no todo el tiempo en la cama: vas rotando de posta en posta, eso hace que las clases sean muy divertidas, cero monótonas. Amadeo es un genio. Siempre prestando atención a los ejercicios para hacer las correcciones necesarias, con propuestas de actividades diferentes y adaptadas a cada persona. Súper recomendable el estudio!",-,Método Circuito| Pilates | Full power,"Lunes, martes, jueves y viernes 8 a. m.–12 p. m., 4–8 p. m. miércoles, 8 a. m.–12 p. m., 5–8 p. m. sábado, 10 a. m.–12 p. m.","9FFX+8V Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Instagram",12-09-25,Tiene dos sedes.,23.0,,,True,False,False,False,1,True,2,1,False
Pilates del Ángel by Maca Ardanaz,"Av. Álvarez Jonte 4815, C1407GPC Monte Castro, Cdad. Autónoma de Buenos Aires",Vélez Sársfield,,,pilatesdelangel,1377.0,4.8,,,"Iluminado, limpio, espacioso.",,Hace un mes: Siempre me costó bastante tener constancia con alguna actividad física pero Maca logró que me enganche totalmente con pilates. Tiene una energía inigualable y una calidez humana que hablan por sí solas. Los grupos que forma son igualmente cálidos. Como profesora es un 1000!!!,,,Lunes a viernes de 9 a. m.–8 p. m,9FJV+2F Cdad. Autónoma de Buenos Aires,"Google maps, Instagram",12-09-25,,56.0,,,True,False,False,False,1,False,1,0,False
